Year,Pos,Pts,Reb,Ast,Stl,Blk,Tov,PF,FG%,3PT%,FT%,TS%,PER,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%
2021,AVERAGE,12.67042254,4.823239437,2.840140845,0.841901408,0.507746479,1.48028169,2.051408451,0.464067952,0.356927444,0.785465197,0.571637324,15.18697183,0.40018662,0.247373239,9.951760563,15.46408451,1.556338028,1.78556338,11.70035211,19.84859155
2021,C,12.23673469,8.010204082,1.97755102,0.687755102,1.012244898,1.473469388,2.467346939,0.558022923,0.343957503,0.71978393,0.623387755,19.39591837,0.164816327,0.364081633,17.23061224,11.80204082,1.324489796,3.695918367,13.22244898,19.16326531
2021,PF,12.50727273,5.521818182,2.172727273,0.781818182,0.652727273,1.314545455,2.130909091,0.470533033,0.352334152,0.788858322,0.575309091,15.32,0.405418182,0.254127273,11.24909091,11.67090909,1.44,2.269090909,10.76727273,19.18909091
2021,PG,13.91754386,3.7,4.91754386,0.996491228,0.321052632,1.964912281,1.975438596,0.437596302,0.354374308,0.816223067,0.545947368,15.22631579,0.421631579,0.22677193,7.214035088,26.07192982,1.807017544,1.050877193,13.49824561,21.94385965
2021,SF,12.65283019,4.294339623,2.283018868,0.860377358,0.39245283,1.316981132,1.981132075,0.455074095,0.361572052,0.790161414,0.567301887,13.94528302,0.445603774,0.228339623,8.786792453,12.30377358,1.573584906,1.379245283,10.47169811,19.27169811
2021,SG,12.1,3.358571429,2.698571429,0.857142857,0.28,1.344285714,1.812857143,0.434479818,0.361342128,0.813284133,0.556728571,13.04428571,0.508985714,0.191557143,6.948571429,14.76285714,1.592857143,0.974285714,10.83428571,19.57714286
2020,C,11.50784314,7.580392157,1.756862745,0.643137255,1.101960784,1.321568627,2.38627451,0.5518902,0.36155914,0.723373838,0.620137255,18.7627451,0.151294118,0.351823529,16.85098039,10.46862745,1.268627451,4.088235294,12.94509804,18.18235294
2020,PF,11.36825397,5.16031746,2.223809524,0.755555556,0.561904762,1.322222222,2.022222222,0.475874439,0.365487155,0.757887517,0.568206349,14.20952381,0.406952381,0.238142857,11.08730159,12.03492063,1.446031746,2.033333333,11.85396825,18.43492063
2020,PG,14.19672131,3.66557377,4.831147541,1.001639344,0.293442623,1.937704918,1.770491803,0.44905606,0.37075438,0.812354312,0.556409836,15.89836066,0.408245902,0.22957377,7.193442623,25.80655738,1.816393443,0.957377049,13.06721311,22.40491803
2020,SF,12.32444444,4.46,2.395555556,0.875555556,0.426666667,1.337777778,1.955555556,0.456317358,0.376571141,0.805168986,0.568822222,13.59555556,0.476911111,0.218444444,9.053333333,12.73555556,1.606666667,1.455555556,11.58,18.59111111
2020,SG,12.48133333,3.316,2.513333333,0.797333333,0.321333333,1.316,1.870666667,0.441180328,0.373423045,0.809612984,0.562813333,13.16933333,0.497026667,0.197893333,7.069333333,14.07733333,1.496,1.110666667,10.62,20.032
2020,AVERAGE,12.40610169,4.693898305,2.782033898,0.815932203,0.517966102,1.450169492,1.98440678,0.468188322,0.371057348,0.782342292,0.573467797,14.98779661,0.39659322,0.242786441,9.946779661,15.2379661,1.529152542,1.843389831,11.9379661,19.6420339
2019,AVERAGE,12.12586207,4.760344828,2.645172414,0.811034483,0.51862069,1.490689655,2.122758621,0.463200808,0.362653003,0.778127566,0.567048276,14.99310345,0.386544828,0.25587931,10.11448276,14.82896552,1.505517241,1.854827586,12.27586207,19.47310345
2019,C,10.80535714,7.125,1.605357143,0.610714286,1.085714286,1.276785714,2.5125,0.54055289,0.350220264,0.699718706,0.609821429,18.31428571,0.187375,0.343821429,16.44107143,10.07857143,1.260714286,4.242857143,12.82321429,18.125
2019,PF,11.77142857,5.631746032,1.973015873,0.726984127,0.56984127,1.358730159,2.112698413,0.468041237,0.36155914,0.770039422,0.567396825,14.70634921,0.421444444,0.24084127,11.74126984,11.09365079,1.350793651,1.907936508,11.54126984,18.84603175
2019,PG,13.2147541,3.539344262,4.740983607,0.962295082,0.249180328,2.008196721,1.895081967,0.445451752,0.356336261,0.805084746,0.546278689,15.4557377,0.370967213,0.254131148,7.162295082,26.61803279,1.772131148,0.837704918,14.59836066,21.79672131
2019,SF,11.82884615,4.121153846,2.117307692,0.888461538,0.388461538,1.284615385,2.107692308,0.448720573,0.368913858,0.80708986,0.562980769,13.26346154,0.467057692,0.233192308,8.457692308,11.45192308,1.601923077,1.323076923,11.10384615,18.24423077
2019,SG,12.90689655,3.387931034,2.648275862,0.867241379,0.315517241,1.481034483,2.010344828,0.433746736,0.368036212,0.807831762,0.550862069,13.16206897,0.485137931,0.209482759,6.829310345,14.10172414,1.543103448,1.037931034,11.15344828,20.1137931
2018,C,11.60877193,7.550877193,1.826315789,0.677192982,1.073684211,1.371929825,2.489473684,0.547838859,0.334951456,0.717561859,0.603982456,19.63684211,0.121368421,0.356333333,17.06140351,11.51578947,1.347368421,3.856140351,12.75438596,19.4245614
2018,PF,11.06842105,5.429824561,1.840350877,0.671929825,0.531578947,1.280701754,2.231578947,0.467042935,0.359192349,0.766104294,0.567912281,14.27719298,0.408245614,0.242684211,11.74385965,10.39298246,1.285964912,1.864912281,11.49473684,18.44561404
2018,PG,12.7704918,3.473770492,4.759016393,0.975409836,0.286885246,1.868852459,1.936065574,0.442211838,0.357389801,0.795679012,0.540606557,15.15737705,0.350409836,0.239245902,6.927868852,25.85409836,1.750819672,0.878688525,13.67377049,21.11147541
2018,SF,11.89583333,4.397916667,2.208333333,0.927083333,0.458333333,1.3,2.08125,0.452937323,0.357064018,0.770657673,0.555458333,13.51666667,0.417958333,0.235708333,8.95625,11.5375,1.629166667,1.485416667,10.88333333,18.47708333
2018,SG,12.21081081,3.251351351,2.468918919,0.8,0.301351351,1.383783784,1.951351351,0.433637687,0.363690654,0.80239899,0.543891892,12.70945946,0.46377027,0.204094595,6.762162162,13.83783784,1.482432432,1.002702703,11.11756757,20.1472973
2018,AVERAGE,11.94006734,4.725589226,2.653198653,0.808417508,0.516161616,1.447811448,2.126262626,0.463812184,0.35839599,0.770235342,0.561228956,14.97306397,0.356713805,0.253047138,10.08350168,14.82727273,1.497643098,1.768350168,11.99124579,19.61010101
2017,AVERAGE,11.36802721,4.569727891,2.504081633,0.814285714,0.509863946,1.456802721,2.024829932,0.462386004,0.363908275,0.771699489,0.557044218,14.92244898,0.335880952,0.24937415,10.11530612,14.64455782,1.576190476,1.77244898,12.63945578,19.49829932
2017,C,10.5,7.1,1.667741935,0.614516129,0.946774194,1.403225806,2.361290323,0.530544626,0.354489164,0.711302211,0.589387097,18.20806452,0.109854839,0.341790323,16.75806452,10.88225806,1.333870968,3.587096774,13.78870968,18.91774194
2017,PF,11.31016949,5.394915254,1.786440678,0.696610169,0.603389831,1.293220339,2.049152542,0.465398247,0.360869565,0.759107807,0.556644068,14.74237288,0.373389831,0.235644068,11.85762712,10.47966102,1.345762712,2.033898305,11.65932203,19.1220339
2017,PG,12.10344828,3.387931034,4.674137931,1.018965517,0.267241379,1.920689655,1.918965517,0.438999315,0.36023622,0.802197802,0.535258621,15.29137931,0.346241379,0.238482759,7.04137931,27.1637931,1.915517241,0.836206897,15.01896552,21.41034483
2017,SF,10.96666667,3.862222222,1.944444444,0.915555556,0.431111111,1.251111111,2.026666667,0.449727588,0.364043506,0.785097192,0.552422222,12.74666667,0.401955556,0.220133333,8.08,10.62,1.7,1.364444444,11.26,17.77777778
2017,SG,11.83428571,3.067142857,2.411428571,0.855714286,0.295714286,1.39,1.792857143,0.439200118,0.370332654,0.810666667,0.549757143,13.25714286,0.4534,0.206914286,6.618571429,13.70142857,1.624285714,0.982857143,11.36285714,19.85142857
2016,C,10.29836066,6.854098361,1.455737705,0.632786885,0.960655738,1.296721311,2.367213115,0.532069039,0.357009346,0.68816531,0.585393443,17.97213115,0.094393443,0.344836066,16.45737705,9.829508197,1.41147541,3.485245902,13.25245902,18.94098361
2016,PF,10.33928571,5.417857143,1.639285714,0.685714286,0.576785714,1.191071429,2.057142857,0.461635485,0.347095871,0.760942761,0.545928571,14.26071429,0.322410714,0.238625,12.28928571,10.01607143,1.371428571,1.871428571,11.55535714,18.60178571
2016,PG,12.53220339,3.096610169,4.737288136,0.966101695,0.220338983,1.945762712,1.9,0.437458194,0.362389814,0.827405248,0.532915254,15.28474576,0.340610169,0.263779661,6.423728814,27.44067797,1.842372881,0.686440678,14.91355932,21.45762712
2016,SF,10.98947368,4.284210526,1.884210526,0.914035088,0.426315789,1.201754386,1.931578947,0.449413635,0.353778751,0.788336933,0.544964912,13.42105263,0.390368421,0.253403509,9.075438596,10.73508772,1.740350877,1.359649123,10.93684211,18.15964912
2016,SG,11.52272727,2.990909091,2.221212121,0.821212121,0.274242424,1.301515152,1.822727273,0.432777078,0.372774481,0.811859444,0.544484848,12.71212121,0.446818182,0.20319697,6.340909091,12.79090909,1.56969697,0.872727273,11.27575758,19.48181818
2016,AVERAGE,11.14882943,4.501003344,2.388294314,0.80367893,0.489297659,1.387959866,2.013712375,0.459441316,0.360928705,0.775465196,0.550909699,14.7180602,0.319899666,0.260254181,10.05652174,14.16588629,1.586622074,1.648829431,12.38461538,19.34448161
2015,AVERAGE,10.86755853,4.514715719,2.356521739,0.823076923,0.506354515,1.447157191,2.057525084,0.452774343,0.355532111,0.764034253,0.540033445,14.70702341,0.285090301,0.270183946,10.07056856,14.17023411,1.610367893,1.633444816,12.80635452,19.54314381
2015,C,10.56037736,7.213207547,1.373584906,0.647169811,1.133962264,1.403773585,2.424528302,0.518380642,0.330188679,0.670862177,0.564433962,17.69433962,0.044584906,0.386490566,16.42641509,8.913207547,1.326415094,3.724528302,13.41132075,19.42264151
2015,PF,9.5453125,5.5234375,1.475,0.6421875,0.6,1.14375,2.0953125,0.468712635,0.357821953,0.736370426,0.543109375,14.921875,0.23178125,0.26490625,13.1828125,9.740625,1.375,2.034375,12.0453125,18.4015625
2015,PG,12.13666667,3.22,4.763333333,1.076666667,0.235,2.016666667,1.996666667,0.431743958,0.355509356,0.804294479,0.526866667,15.37166667,0.32615,0.254733333,6.535,27.84166667,1.998333333,0.675,15.51833333,21.59
2015,SF,10.75,4.015517241,1.875862069,0.865517241,0.346551724,1.315517241,1.943103448,0.438230709,0.349534643,0.791666667,0.537017241,13.03448276,0.387241379,0.240448276,8.643103448,10.88275862,1.672413793,1.082758621,11.92758621,18.53103448
2015,SG,11.3609375,2.9375,2.23125,0.8734375,0.2921875,1.371875,1.8765625,0.426867135,0.361629881,0.820618557,0.531828125,12.9109375,0.4065,0.220578125,6.303125,13.115625,1.6609375,0.8984375,11.3203125,19.7828125
2014,C,9.635714286,7.085714286,1.285714286,0.580357143,1.083928571,1.369642857,2.442857143,0.513328615,0.31496063,0.672960216,0.551482143,17.00357143,0.029053571,0.368696429,16.61428571,8.632142857,1.230357143,3.65,14.26428571,18.74821429
2014,PF,10.17540984,5.627868852,1.486885246,0.670491803,0.621311475,1.16557377,2.163934426,0.471940764,0.344573235,0.720445063,0.535786885,15.44590164,0.195934426,0.286868852,12.89672131,9.537704918,1.409836066,1.967213115,11.07377049,19.06229508
2014,PG,12.025,3.081666667,4.77,1.031666667,0.205,1.998333333,1.96,0.42803402,0.34939759,0.808353808,0.523883333,15.48333333,0.319166667,0.2564,6.27,28.11166667,1.895,0.56,15.30833333,21.58
2014,SF,10.338,4.006,1.774,0.828,0.354,1.212,1.828,0.440574253,0.36265137,0.769436997,0.5447,13.342,0.40238,0.24398,8.578,10.498,1.61,1.132,11.474,17.862
2014,SG,12.05666667,3.135,2.471666667,0.923333333,0.28,1.515,1.943333333,0.428102429,0.365015618,0.802526596,0.533016667,13.73666667,0.3919,0.231083333,6.473333333,14.55833333,1.755,0.855,11.90666667,20.76666667
2014,AVERAGE,10.87839721,4.57630662,2.38989547,0.808710801,0.506620209,1.460627178,2.071080139,0.452838225,0.356291391,0.755437814,0.537334495,15.03379791,0.266069686,0.27733101,10.14146341,14.46097561,1.583275261,1.623344948,12.82543554,19.67456446
2013,AVERAGE,11.07526882,4.55125448,2.449103943,0.837634409,0.489964158,1.516129032,2.131899642,0.457140592,0.361833953,0.761300992,0.541082437,14.8437276,0.257774194,0.284290323,10.06451613,14.37168459,1.634050179,1.549820789,13.27885305,19.47562724
2013,C,9.736170213,7.076595745,1.317021277,0.604255319,1.031914894,1.404255319,2.485106383,0.514454112,0.305343511,0.687053217,0.555106383,16.52340426,0.028744681,0.375531915,16.51276596,8.417021277,1.291489362,3.457446809,14.73617021,18.30851064
2013,PF,11.34,6.04,1.556666667,0.683333333,0.66,1.348333333,2.273333333,0.48629386,0.348745046,0.732100239,0.548266667,16.17,0.146966667,0.304933333,13.63,9.753333333,1.37,2.065,12.10666667,19.98666667
2013,PG,12.09827586,2.936206897,4.932758621,1.087931034,0.194827586,2.046551724,2.025862069,0.42660784,0.358609795,0.808497537,0.525844828,15.06206897,0.331913793,0.256275862,5.898275862,27.75689655,1.979310345,0.537931034,15.59655172,21.06034483
2013,SF,10.14482759,4.160344828,1.917241379,0.910344828,0.40862069,1.301724138,2.010344828,0.441726619,0.364739884,0.765687053,0.539758621,13.06724138,0.372068966,0.249844828,8.979310345,10.82586207,1.756896552,1.256896552,12.07413793,17.46896552
2013,SG,11.81964286,2.914285714,2.333928571,0.864285714,0.242857143,1.4625,1.919642857,0.437097071,0.371325425,0.803198887,0.538767857,13.62678571,0.373553571,0.250285714,6.271428571,14.12678571,1.719642857,0.748214286,12.15892857,20.34464286
2012,C,9.110714286,6.478571429,1.15,0.5875,1.132142857,1.314285714,2.351785714,0.512117503,0.19047619,0.680835198,0.545839286,15.92857143,0.008785714,0.350892857,15.51428571,7.416071429,1.3,3.832142857,14.50714286,17.93571429
2012,PF,11.17241379,6.234482759,1.581034483,0.725862069,0.710344828,1.386206897,2.262068966,0.479291045,0.352685051,0.722843976,0.533551724,15.97241379,0.132913793,0.285241379,13.94310345,9.720689655,1.484482759,2.110344828,12.11551724,20.28103448
2012,PG,11.89056604,2.743396226,5.132075472,1.109433962,0.203773585,2.066037736,1.979245283,0.435151973,0.36993865,0.819140919,0.533207547,15.66603774,0.332528302,0.237528302,5.701886792,29.52075472,2.081132075,0.577358491,16.01698113,21.13207547
2012,SF,9.901724138,3.965517241,1.829310345,0.846551724,0.415517241,1.253448276,1.772413793,0.430408629,0.361529548,0.785306122,0.530362069,13.03793103,0.36462069,0.250551724,8.848275862,10.69655172,1.70862069,1.229310345,11.67413793,18.04137931
2012,SG,10.82424242,2.677272727,2.516666667,0.86969697,0.251515152,1.457575758,1.681818182,0.43033128,0.360077332,0.79623621,0.52980303,13.45606061,0.361727273,0.236090909,6.062121212,15.83636364,1.789393939,0.777272727,12.63787879,20.45454545
2012,AVERAGE,10.5742268,4.386597938,2.40652921,0.825773196,0.536426117,1.485910653,1.99862543,0.454673445,0.361111111,0.760391198,0.534367698,14.75257732,0.243460481,0.271123711,9.941580756,14.46494845,1.671477663,1.684536082,13.31683849,19.57766323
2011,AVERAGE,10.46549296,4.436267606,2.28556338,0.81971831,0.532042254,1.479929577,2.004929577,0.45104108,0.35396967,0.760321101,0.527679577,14.87535211,0.226309859,0.278302817,10.05035211,14.02464789,1.662676056,1.667605634,13.47429577,19.47640845
2011,C,9.014285714,6.606122449,1.146938776,0.636734694,1.130612245,1.32244898,2.348979592,0.503979534,0.260273973,0.679395386,0.538897959,16.04489796,0.013857143,0.366734694,15.79591837,7.491836735,1.416326531,3.730612245,14.95102041,17.55102041
2011,PF,10.16825397,5.96031746,1.222222222,0.674603175,0.711111111,1.268253968,2.295238095,0.47831825,0.354316547,0.717639594,0.530809524,15.58571429,0.100888889,0.299031746,13.8,8.050793651,1.466666667,2.287301587,12.62698413,19.02222222
2011,PG,11.50555556,2.751851852,5.007407407,1.074074074,0.2,2.105555556,1.825925926,0.42938281,0.35151117,0.819225251,0.522759259,15.63518519,0.306611111,0.248685185,5.698148148,29.56481481,2.027777778,0.551851852,16.62592593,21.37592593
2011,SF,10.22857143,4.173214286,1.935714286,0.855357143,0.4375,1.341071429,1.817857143,0.432476876,0.347593583,0.774343122,0.518535714,13.43392857,0.3365,0.248446429,9.05,11.60357143,1.696428571,1.264285714,12.05714286,18.56785714
2011,SG,11.22258065,2.877419355,2.211290323,0.858064516,0.251612903,1.4,1.762903226,0.429683534,0.364147089,0.807560137,0.528177419,13.86935484,0.352193548,0.240112903,6.393548387,13.90967742,1.708064516,0.743548387,11.70322581,20.62580645
2010,C,9.259259259,6.346296296,1.233333333,0.572222222,1.064814815,1.324074074,2.611111111,0.510507432,0.283783784,0.68086545,0.547814815,15.13888889,0.015203704,0.407407407,15.25555556,7.824074074,1.235185185,3.333333333,14.45925926,17.67037037
2010,PF,11.69411765,6.423529412,1.48627451,0.709803922,0.684313725,1.32745098,2.51372549,0.488720219,0.361666667,0.755782313,0.55127451,16.20784314,0.131019608,0.300235294,13.85098039,8.668627451,1.376470588,2.011764706,11.45882353,19.52156863
2010,PG,11.2490566,2.701886792,5.173584906,1.030188679,0.173584906,2.047169811,1.930188679,0.434447822,0.355003652,0.829489867,0.529490566,15.08113208,0.292283019,0.271528302,5.762264151,29.79056604,1.935849057,0.498113208,16.56792453,20.78301887
2010,SF,11.48113208,4.175471698,1.928301887,0.847169811,0.454716981,1.364150943,2.028301887,0.447437186,0.361942781,0.778561354,0.539943396,13.83773585,0.322264151,0.271169811,8.839622642,10.86415094,1.58490566,1.243396226,11.2509434,19.21132075
2010,SG,11.8234375,2.95,2.2890625,0.8578125,0.259375,1.3875,1.884375,0.435623003,0.367426079,0.816918429,0.53865625,13.7703125,0.3481875,0.249546875,6.521875,13.7390625,1.6953125,0.7328125,11.3703125,20.5171875
2010,AVERAGE,11.11927273,4.449454545,2.419272727,0.805454545,0.517454545,1.486545455,2.180363636,0.459681644,0.361205206,0.772977325,0.541276364,14.75672727,0.226756364,0.298349091,9.896363636,14.17672727,1.570909091,1.533818182,12.972,19.57309091
2009,AVERAGE,11.25848375,4.542238267,2.406859206,0.79566787,0.519855596,1.496750903,2.201083032,0.462339617,0.355396967,0.76555149,0.54099639,14.74187726,0.225418773,0.297400722,9.970397112,13.89061372,1.528880866,1.540433213,12.90036101,19.61696751
2009,C,10.262,6.836,1.286,0.534,1.106,1.422,2.698,0.517074414,0.327683616,0.699724518,0.56012,15.99,0.04334,0.38302,15.49,7.69,1.104,3.408,14.126,18.326
2009,PF,11.52,6.396363636,1.429090909,0.747272727,0.729090909,1.381818182,2.563636364,0.485415845,0.34681182,0.742358079,0.544181818,15.93454545,0.119909091,0.321381818,14.05454545,8.318181818,1.441818182,2.189090909,12.05454545,19.78727273
2009,PG,11.06885246,2.604918033,4.632786885,0.959016393,0.147540984,1.854098361,1.916393443,0.44044665,0.363348129,0.802770449,0.532491803,14.62786885,0.294491803,0.25742623,5.603278689,26.83278689,1.852459016,0.439344262,15.31311475,20.38852459
2009,SF,11.23888889,4.209259259,1.877777778,0.82037037,0.431481481,1.338888889,1.977777778,0.446110211,0.351219512,0.78340081,0.535574074,13.48333333,0.304907407,0.272388889,9.016666667,10.58518519,1.555555556,1.203703704,11.50740741,18.94074074
2009,SG,12.10175439,3.129824561,2.452631579,0.873684211,0.285964912,1.440350877,1.931578947,0.4397463,0.357586012,0.796747967,0.535385965,13.81052632,0.337719298,0.265631579,6.764912281,13.9877193,1.614035088,0.773684211,11.37894737,20.4
2008,C,9.491803279,6.583606557,1.157377049,0.529508197,1.08852459,1.319672131,2.681967213,0.519643673,0.338461538,0.699766355,0.557836066,15.71311475,0.02342623,0.397819672,15.58688525,7.3,1.172131148,3.550819672,14.2852459,17.56885246
2008,PF,11.2375,5.9875,1.367857143,0.721428571,0.630357143,1.369642857,2.569642857,0.47840796,0.371391076,0.75408805,0.547482143,15.29464286,0.143535714,0.324625,13.6625,8.158928571,1.423214286,1.9625,12.34464286,19.47142857
2008,PG,11.66346154,2.896153846,4.901923077,1.075,0.148076923,1.907692308,1.971153846,0.43702519,0.367765568,0.820301783,0.530019231,14.86153846,0.283884615,0.2825,5.961538462,27.13076923,1.973076923,0.384615385,15.38846154,20.08269231
2008,SF,11.52166667,4.193333333,1.995,0.855,0.441666667,1.38,2.066666667,0.445014144,0.366666667,0.786194258,0.53475,13.38166667,0.307366667,0.259583333,8.791666667,10.99166667,1.595,1.205,11.60333333,18.68166667
2008,SG,12.46607143,3.055357143,2.4875,0.880357143,0.264285714,1.444642857,1.957142857,0.440331394,0.375397667,0.819292605,0.542178571,14.15714286,0.355392857,0.255339286,6.533928571,14.43214286,1.692857143,0.728571429,11.42678571,20.78214286
2008,AVERAGE,11.24280702,4.597192982,2.319649123,0.804210526,0.52877193,1.474035088,2.258245614,0.461646071,0.369788941,0.77389336,0.542789474,14.67894737,0.219554386,0.305298246,10.24315789,13.26561404,1.558947368,1.612631579,12.97894737,19.26701754
2007,AVERAGE,11.20863309,4.61618705,2.467266187,0.807194245,0.51942446,1.497841727,2.241366906,0.460341346,0.363471314,0.760547026,0.536294964,14.62410072,0.208874101,0.30452518,10.04568345,14.25791367,1.562230216,1.527697842,13.08848921,19.41258993
